Instrument_Category,Instrument,Dataset_ID,Acq_Time_Start,Acq_Length,Dataset_Type,Curated_Quality,XIC_WideFrac,XIC_FWHM_Q1,XIC_FWHM_Q2,XIC_FWHM_Q3,XIC_Height_Q2,XIC_Height_Q3,XIC_Height_Q4,RT_Duration,RT_TIC_Q1,RT_TIC_Q2,RT_TIC_Q3,RT_TIC_Q4,RT_MS_Q1,RT_MS_Q2,RT_MS_Q3,RT_MS_Q4,RT_MSMS_Q1,RT_MSMS_Q2,RT_MSMS_Q3,RT_MSMS_Q4,MS1_TIC_Change_Q2,MS1_TIC_Change_Q3,MS1_TIC_Change_Q4,MS1_TIC_Q2,MS1_TIC_Q3,MS1_TIC_Q4,MS1_Count,MS1_Freq_Max,MS1_Density_Q1,MS1_Density_Q2,MS1_Density_Q3,MS2_Count,MS2_Freq_Max,MS2_Density_Q1,MS2_Density_Q2,MS2_Density_Q3,MS2_PrecZ_1,MS2_PrecZ_2,MS2_PrecZ_3,MS2_PrecZ_4,MS2_PrecZ_5,MS2_PrecZ_more,MS2_PrecZ_likely_1,MS2_PrecZ_likely_multi,SMAQC_Job,C_1A,C_1B,C_2A,C_2B,C_3A,C_3B,C_4A,C_4B,C_4C,DS_1A,DS_1B,DS_2A,DS_2B,DS_3A,DS_3B,IS_1A,IS_1B,IS_2,IS_3A,IS_3B,IS_3C,MS1_1,MS1_2A,MS1_2B,MS1_3A,MS1_3B,MS1_5A,MS1_5B,MS1_5C,MS1_5D,MS2_1,MS2_2,MS2_3,MS2_4A,MS2_4B,MS2_4C,MS2_4D,P_1A,P_1B,P_2A,P_2B,P_2C,P_3,P_2Anorm,BinomResp,LLRC.Prediction
LTQ_IonTrap,LTQ_2,282975,8/16/12,59,MS-MSn,good,0.266996,29.0551,33.8659,42.3671,1.0563,1.55671,2.98974,3542.05,0.172397,0.0753755,0.0802277,0.672,0.235512,0.23641,0.264781,0.263297,0.235483,0.235835,0.26427,0.264412,1.24363,1.74699,1.76284,1.28235,2.07739,0.482878,933,0.302439,1314,1363,1496,9311,3.02916,152,398,740.5,0,0,0,0,0,0,0.25196,0.74804,869084,0,0.001145,9.8515,44.2572,32.53,32.75,35.96,28.79,26.34,6.547,9.5,175,1752,1.393,1.084,1,0,820.4543,0.003425,0.491438,0,2.867,38.265,76461,33.382,313000,-0.109828,0.24557,-54.625,-54.624,30.104,135.4,855,0.0021,0.0298,0.193,0.2301,7,-6.998,860,774,724,0.01105,0.49086758,0,0.98
LTQ_IonTrap,LTQ_2,283033,8/17/12,59,MS-MSn,poor,0.264614,28.5386,33.3869,41.1145,0.49049,2.07879,4.43694,3540.86,0.538893,0.0393581,0.0597097,0.362039,0.247955,0.25847,0.231482,0.262094,0.263894,0.256547,0.225565,0.253994,1.0073,1.38878,3.37847,0.208856,2.39211,2.01856,932,0.311874,1522,1581,1606,8998,3.13314,4,203.5,725,0,0,0,0,0,0,0.318071,0.681929,869292,0,0.005405,5.6019,49.626,35.26,44.59,20.91,28.39,55.51,5.343,16.75,99,987,1.405,1.074,0,0,951.4824,0.020725,0.417098,0,10,22.36,134310,29.669,401000,-0.013773,0.236689,-6.594,-6.169,38.205,95.495,881,8.00E-04,0.024,0.1803,0.211,7.03,-7.029,547,468,430,0.013953,0.554204661,1,0.94
LTQ_IonTrap,LTQ_2,283036,8/17/12,59,MS-MSn,good,0.288905,25.1486,29.4718,37.2729,1.78469,1.10188,2.83215,3542.15,0.272344,0.126945,0.124076,0.476635,0.247767,0.230495,0.250207,0.271532,0.247484,0.229978,0.249691,0.272846,1.22925,0.998279,2.06012,1.65317,0.458753,0.175123,969,0.300374,1435,1486,1542,9671,3.00711,402.5,674,852,0,0,0,0,0,0,0.101747,0.898253,869297,0.000627,0.003133,13.9771,57.0218,32.07,41.72,24.08,24.83,52.59,5.628,7.32,248,2475,1.476,1.106,0,0,872.2955,0.033421,0.370273,0,0.381,48.315,94461.5,20.502,366000,-0.032592,0.222091,-16.88,-16.866,35.874,134.5,844,0.0107,0.1591,0.2242,0.2885,7.32,-7.319,1563,1345,1230,0.021138,0.631515152,0,0
LTQ_IonTrap,LTQ_2,283049,8/17/12,59,MS-MSn,poor,0.231296,29.6617,34.8467,43.733,1.54014,0.568894,4.19101,3542.49,0.300885,0.0386334,0.174084,0.486398,0.272591,0.272676,0.286904,0.16783,0.249598,0.237978,0.25225,0.260174,1.57029,1.07293,5.08779,1.85752,0.739063,2.54834,1011,1.51382,1360,1413,1502.5,8915,3.08698,144,422,758,0,0,0,0,0,0,0.291868,0.708132,869317,0,0.073298,7.5984,12.7658,72.95,110.68,26.93,26.49,114.52,6.1,2.5,121,1210,1.722,1.156,1,2,1003.368,0.016393,0.54918,0,2.584,12.075,49637.5,25.823,333000,0.000114,0.239573,0.086,0.258,83.534,58.15,946,0,0.0052,0.0186,0.0873,6.85,-6.848,188,92,86,0.011628,0.155371901,1,1
LTQ_IonTrap,LTQ_2,283094,8/18/12,59,MS-MSn,poor,0.248356,29.2308,33.9272,41.8736,0.250572,0.394302,5.9356,3539.36,0.794326,0.0194528,0.018185,0.168036,0.446746,0.453935,0.0658155,0.0335036,0.240507,0.23942,0.240435,0.279638,2.74948,1.68285,6.42897,4.25682,0.438014,4.73807,1662,3.75243,55,1463.5,1610,8363,3.125,3,75,159,0,0,0,0,0,0,0.597154,0.402846,869411,0,0,1.1645,42.0781,35.23,49.84,49.46,21.76,60.4,5.167,4,22,213,1.391,1.102,2,4,894.949,0.027027,0.256757,0,10,16.235,119180,10.838,483000,0.014362,0.219316,3.884,12.953,20.497,87.57,895,0,0.0085,0.0494,0.1039,6.88,-6.878,95,81,77,0,0.44600939,1,1
LTQ_IonTrap,LTQ_2,283096,8/18/12,60,MS-MSn,good,0.271072,27.2562,32.494,40.3262,0.661483,0.794052,3.03284,3540.79,0.317931,0.109964,0.140351,0.431753,0.256835,0.235357,0.250884,0.256924,0.256748,0.235223,0.250716,0.257312,1.13976,0.83843,2.0877,0.629878,0.800828,0.364982,907,0.279559,1362,1443,1493.5,9064,2.81279,344,547,750,0,0,0,0,0,0,0.15865,0.84135,869416,0,0,13.0704,35.1175,32.08,44.26,25.66,25.49,47.53,6.919,11,213,2123,1.327,1.051,0,0,779.4063,0.003096,0.419505,0,1.639,44.01,33728,18.268,133000,-0.102791,0.24453,-54.531,-54.333,77.188,130.8,814,0.0079,0.0465,0.1437,0.2278,7.05,-7.051,897,823,777,0.021879,0.422515309,0,0.59
LTQ_IonTrap,LTQ_2,283099,8/18/12,59,MS-MSn,poor,0.238776,29.0671,34.3655,42.3513,0.927867,0.428718,2.61742,3539.36,0.327767,0.118425,0.176755,0.377052,0.42957,0.422914,0.120345,0.0271699,0.241921,0.238594,0.240697,0.278787,1.82886,2.2495,4.56766,3.88956,2.47858,2.92441,1507,4.16451,164,1114,1396.5,8397,2.6492,161,254,322,0,0,0,0,0,0,0.802072,0.197928,869425,0,0,0.5612,7.1276,46.09,46.03,20.34,69.23,29.99,4,0,9,92,1.87,1.107,4,3,855.1218,0,0.5,0,10,4.627,109030,1.368,319000,-0.163692,0.270781,-89.194,-59.846,88.908,40.125,800,0,0,0,0.0039,6.19,-6.188,6,5,5,0,0.065217391,1,1
LTQ_IonTrap,LTQ_2,283102,8/18/12,59,MS-MSn,poor,0.237843,32.7043,38.826,49.9679,1.00539,0.47567,3.62293,3539.29,0.407551,0.143639,0.178721,0.270089,0.461764,0.45543,0.050441,0.0323652,0.239926,0.238695,0.234309,0.28707,3.06012,2.09601,3.34417,4.87923,1.88758,0.921181,1608,4.02704,30.75,1230,1388,8308,2.54193,155,422,705,0,0,0,0,0,0,0.242778,0.757222,869434,0,0.004274,10.3873,22.4312,91.7,108.32,30.07,98.18,112.9,9.405,6.167,156,1559,1.351,1.056,2,3,807.1623,0,0.677419,0,10,28.26,10643,8.137,44100,-0.061661,0.248362,-32.598,-32.36,100,89.08,792,0.008,0.0494,0.0797,0.1297,6.92,-6.915,460,408,391,0.01023,0.295060936,1,0.99
LTQ_IonTrap,LTQ_2,283114,8/18/12,59,MS-MSn,poor,0.228543,32.2081,37.5929,47.1419,0.825202,0.452418,2.5332,3539.29,0.378575,0.205646,0.130103,0.285677,0.382911,0.39821,0.170439,0.048441,0.241551,0.245036,0.250281,0.263132,6.72183,1.47111,4.06559,8.35688,1.85034,2.45007,1368,2.60292,1,972,1288.25,8121,2.67508,62,197,267,0,0,0,0,0,0,0.854328,0.145672,869477,0,0,0,NA,78.02,103.32,35.24,56.94,155.66,0,0,0,1,6.883,0,16,21,855.1218,0,0,0,10,0,0,0,80176,0.281212,0.281212,109.748,109.748,100,0,470,0,0,0,0.001,5.84,-5.842,1,1,1,0,1,1,1
LTQ_IonTrap,LTQ_2,283117,8/18/12,59,MS-MSn,poor,0.220104,29.8467,34.8149,43.7668,0.520365,0.426734,2.80298,3539.31,0.299955,0.137546,0.191564,0.370936,0.35475,0.362446,0.244564,0.0382399,0.241801,0.242985,0.246717,0.268498,1.74866,1.11951,4.73285,3.8739,0.866578,2.33415,1251,3.14634,332.5,1311,1397,8496,2.53184,105,202,268,0,0,0,0,0,0,0.781662,0.218338,869487,0,0,0,NA,61.66,61.77,34.73,40.3,43.99,0,0,0,1,2.208,0,23,24,971.4905,0,0,0,9.488,0,0,0,141971,0.451797,0.451797,155.18,155.18,100,0,1036,0,0,0,7.00E-04,6.15,-6.149,1,1,1,0,1,1,1
